STAID	STATE	FIPS	LAT_DMS 	 LON_DMS	WELLDPTH  	SAMPDATE 	SAMPTIME	AS_RMRK	AS_CONC	LAT_DD	LON_DD
16S     2S      6N      6S      7S      10N     9S      5S      1S      10N     12N     12N
350200115235001	CA	6071	350160	1152350		18-Aug-81	0	.	2	35.03333	115.39722
344108115241601	CA	6071	344108	1152416		03-Sep-81	1200	.	15	34.68555	115.40444
350625115242201	CA	6071	350625	1152422		02-Sep-81	1200	.	1	35.10695	115.40611
440438115250801	ID	16015	440438	1152508		13-Aug-79	1055	<	1	44.07722	115.41889
345606115254201	CA	6071	345606	1152542	13	18-Aug-81	0	.	2	34.935	115.42834
425646115254301	ID	16039	425646	1152543	117	16-Sep-80	1300	.	17	42.94611	115.42861
455127115263401	ID	16049	455127	1152634	146	07-Aug-91	1110	<	1	45.8575	115.44278
345952115265601	CA	6071	345952	1152656		23-Jul-81	1100	.	7	34.99778	115.44889
425648115270701	ID	16039	425648	1152707	600	17-Sep-80	1115	.	28	42.94666	115.45194
430217115272501	ID	16039	430217	1152725	1910	11-Sep-80	1110	.	3	43.03806	115.45695
425618115272701	ID	16039	425618	1152727	150	20-Aug-92	1315	.	36	42.93833	115.4575
425752115272901	ID	16039	425752	1152729		12-Sep-80	1030	.	18	42.96444	115.45805
425835115290901	ID	16039	425835	1152909	1200	16-Sep-80	1435	.	1	42.97639	115.48583
425647115293502	ID	16039	425647	1152935	60	12-Sep-80	1200	.	10	42.94639	115.49306
425713115294801	ID	16039	425713	1152948	323	17-Sep-80	1230	.	2	42.95361	115.49667
345632115300601	CA	6071	345632	1153006		23-Jul-81	1100	.	3	34.94222	115.50166
345413115302001	CA	6071	345413	1153020	44	06-Aug-81	1200	.	1	34.90361	115.50555
431712115321101	ID	16039	431712	1153211		24-Sep-93	1220	<	1	43.28666	115.53639
324442115323305	CA	6025	324442	1153233		14-Apr-89	1400	.	13	32.745	115.5425
422449115330501	ID	16073	422449	1153305	1400	31-Aug-89	1300	.	9	42.41361	115.55139
425803115333001	ID	16039	425803	1153330	560	12-Sep-80	1350	.	7	42.9675	115.55833
431141115335202	ID	16039	431141	1153352	250	20-Nov-80	1410	.	1	43.19472	115.56445
431505115344501	ID	16039	431506	1153441	395	11-Sep-93	1530	<	1	43.25167	115.57806
425527115352301	ID	16073	425527	1153523	1350	26-Aug-80	1545	.	1	42.92417	115.58972
425528115360701	ID	16073	425528	1153607	40.5	26-Aug-80	1500	.	4	42.92445	115.60194
440448115365001	ID	16015	440448	1153650	275	08-Aug-96	1000	<	1	44.08001	115.61389
425939115372401	ID	16039	425939	1153724	450	21-Aug-96	1545	.	8	42.99417	115.62334
430307115375601	ID	16039	430307	1153756	464	12-Sep-80	1445	.	8	43.05194	115.63223
431037115385601	ID	16039	431037	1153856	360	17-Sep-80	1430	.	2	43.17694	115.64889
430337115385601	ID	16039	430337	1153856	456	05-Sep-93	1115	.	3	43.06028	115.64889
430432115390501	ID	16039	430430	1153903	500	22-Aug-96	1050	.	2	43.075	115.65083
425524115391001	ID	16073	425524	1153910	365	10-Aug-95	1820	.	37	42.92333	115.65278
